식당명,메뉴,가격,메뉴사진
포36거리,소고기,쌀국수,8000원,po1.png
포36거리,로스가스,8000원,po2.png
포36거리,히레가스,9000원,po3.png
포36거리,포돈정식(양지 쌀국수+히레가스 1줄),9500원,po4.png
포36거리,감자말이 새우롤4pcs,5000원,po5.png
포36거리,칠리소스 닭어깨튀김4pcs,5000원,po6.png
포36거리,새우춘권4pcs,5000원,po7.png
포36거리,소고기 쌀국수(어린이),5000원,po8.png
포36거리,미니 히레가스(어린이),5000원,po9.png
을의커피,아메리카노,4000원,eul1.png
을의커피,딸기스무디,5700원,eul2.png
을의커피,블루베리스무디,5700원,eul3.png
을의커피,말차우유,5500원,eul4.png
을의커,코코넛크림커피,5300원,eul5.png
을의커피,민트비체린,5500원,eul6.png
을의커피,딸기우유,5300원,eul7.png
을의커피,허브티,5200원,eul8.png
을의커피,말차라떼,5500원,eul9.png
홍곱창,데리야끼막창,16000원,hong1.png
홍곱창,야채곱창,14000원,hong1.png
홍곱창,핵마늘막창,19000원,hong1.png
홍곱창,불곱창,14000원,hong1.png
홍곱창,순대곱창,15000원,hong1.png
홍곱창,알곱창,17000원,hong1.png
홍곱창,치즈불곱창,17000원,hong1.png
홍곱창,소금구이막창,16000원,hong1.png
